"year","month","total.0","SE.0","total.1","SE.1","prev"
2008,1,1090.984728,130.426958783567,73.601936,17.0012142638008,0.0632000505202419
2008,2,47.089735,27.9550785173448,0,0,0
2008,6,0,0,0,0,NA
2008,8,0,0,0,0,NA
2008,11,1228.378087,178.350827850364,49.332936,14.2058310574873,0.038610401813838
2008,12,1262.455937,160.835125545045,95.10627,24.2086195400299,0.0700566570795824
2012,1,821.580375,215.977980914672,57.822653,23.5637906434087,0.0657521650016425
2012,3,984.301143,200.259384684858,12.188581,6.91285187377807,0.0122315170005707
2012,4,786.797336,164.193681298923,3.575966,1.60135107979575,0.00452440130625769
2012,5,966.407471,190.5713084582,11.005768,5.22927901412105,0.0112600971225437
2012,6,484.502075,123.578329093513,12.27591,5.60147957739826,0.0247110588042665
2012,9,495.571939,147.09486065285,0.729652,0.729652,0.00147017864385609
2012,10,426.032415,105.968892095234,12.691803,4.84399102747156,0.0289288862553742
2012,11,631.79111,140.634120571228,17.819718,7.95678161884587,0.0274313746506701
2012,12,699.502475,182.230904107059,71.749342,22.6358510720506,0.093029721834678
2014,1,170.019096,69.7350395067735,3.535901,3.535901,0.020373374786783
2014,2,633.279639,142.493646958915,11.834822,8.79226657472929,0.0183453057022698
2014,3,943.336284,230.860867377869,19.983449,11.2114742433016,0.020744357574579
2014,4,971.229255,253.114547674888,3.451519,1.91242209489249,0.00354117890910609
2014,5,81.916022,46.1768826310791,4.84868,3.43786335074563,0.0558830940259554
2014,6,673.690785,188.325266444835,8.773556,6.62046185061001,0.0128556987858799
2014,7,762.461534,194.148663819379,13.333756,12.1167680417719,0.0171872092701156
2014,8,591.19785,158.384420597705,1.239709,0.880748965824542,0.00209255639040266
2014,9,770.215436,197.04213196523,0,0,0
2014,10,305.150822,92.365030149834,5.77448,5.77448,0.0185719205315751
2015,2,787.881192,180.00635661582,2.551969,1.49743575052484,0.00322857026490567
2015,3,844.670526,168.142628576682,5.031706,3.44274943931484,0.00592172858973966
2015,4,771.81607,153.465922663167,2.709159,1.60952462828781,0.0034978318311178
2015,5,781.951979,172.54634615648,1.683121,1.10254456816992,0.00214783768618838
2015,7,461.003634,150.117557996518,0,0,0
2015,8,941.849377,167.864744343461,2.091418,1.49281724636474,0.00221562412714666
2015,9,623.796998,165.868416931338,0,0,0
2015,10,812.113873,179.854094872621,4.51751,1.87550981965065,0.0055318839001807
2015,11,4.562514,2.60915141828641,0,0,0
2016,3,701.7238,173.724684424765,8.861552,5.98572986635715,0.0124707777539439
2016,4,751.992928,146.463567215761,16.920618,6.17472257762661,0.0220058784085981
2016,5,836.187932,162.514340969257,3.854888,2.04468773270688,0.00458891845537112
2016,6,389.551504,131.687955902464,5.661391,4.10564798919414,0.0143249146766833
2016,7,437.771955,158.506580352119,1.792476,1.792476,0.00407784587101862
2016,8,717.49282,142.453630941204,5.959276,3.52037586568906,0.00823727795240225
2016,9,601.106771,155.15826616032,0,0,0
2016,10,830.288906,162.314642249179,4.581224,3.23210346892639,0.0054873492719161
2016,11,429.774985,138.365771871247,2.953099,2.4487991859197,0.0068243756511075
2017,4,735.066392,153.087551002531,1.58887,1.58887,0.00215687049555074
2017,5,1266.710501,211.522616141391,3.301455,2.28093784260017,0.00259954639356167
2017,6,48.880125,28.4901146516265,0,0,0
2017,7,1299.482063,197.570393930972,6.051589,3.89422495677797,0.00463533742751811
2017,8,1251.552064,202.122249694248,2.214433,1.59107869590277,0.00176622441682616
2017,9,1163.677136,222.897187832922,1.591985,1.43326990191136,0.00136619513150216
2017,10,1756.49422,257.866279604052,1.417992,1.00367119806439,0.000806634136972478
2017,11,1357.263381,198.700969584983,14.346778,5.13774195029568,0.0104598073336376
2017,12,987.794519,174.988955028637,5.538929,3.3949948100816,0.00557610237644993
